customer_id,signup_date,home_market,preferred_channel,loyalty_tier,last_visit_days_ago,visits_30d,visits_90d,visits_180d,hotel_nights_180d,dining_visits_90d,entertainment_visits_90d,spa_visits_90d,total_spend_180d,avg_spend_per_visit,email_open_rate,promotion_clicks_90d,prior_offer_count_180d,prior_offer_redemptions_180d,service_cases_180d,weekend_visit_share,booking_lead_days_avg,responded_to_campaign
100000,2026-01-14,UK/EU,Email,Bronze,11,2,4,8,1,3,1,0,1447.29,180.91,0.478,1,2,1,0,0.316,17.1,0
100001,2023-05-11,UK/EU,SMS,Bronze,118,1,1,5,0,1,0,0,1725.89,345.18,0.31,2,0,0,1,0.377,20.1,0
100002,2023-10-28,UAE,Phone,Bronze,100,1,1,3,0,3,2,0,2341.15,780.38,0.603,0,0,0,1,0.45,17.9,0
100003,2024-09-01,UAE,Email,Silver,20,1,1,3,3,0,1,0,3313.93,1104.64,0.485,2,2,1,0,0.573,9.9,1
100004,2024-09-09,UAE,Email,Bronze,38,0,1,2,0,0,0,1,796.34,398.17,0.453,2,3,2,0,0.389,19.0,0
100005,2023-01-10,UAE,SMS,Bronze,86,1,3,7,2,1,2,0,2833.58,404.8,0.131,1,0,0,0,0.275,9.5,0
100006,2026-01-19,GCC,Email,Silver,72,0,1,5,0,0,1,0,4434.48,886.9,0.4,3,2,0,1,0.229,48.1,0
100007,2023-08-28,Other,WhatsApp,Bronze,26,2,7,13,1,2,2,0,2685.25,206.56,0.623,2,2,1,1,0.979,11.8,0
100008,2025-08-06,UAE,Email,Bronze,46,0,0,4,0,1,1,0,1185.82,296.46,0.205,1,0,0,0,0.576,10.8,0
100009,2026-01-07,UAE,App Push,Bronze,0,1,4,6,1,3,1,1,2900.46,483.41,0.635,3,3,2,0,0.444,9.8,1
100010,2024-04-29,UK/EU,WhatsApp,Bronze,28,1,3,4,0,2,0,0,906.15,226.54,0.222,1,0,0,0,0.357,19.5,0
100011,2022-07-26,India,SMS,Bronze,97,0,4,8,2,5,1,0,2504.59,313.07,0.278,0,1,0,1,0.541,10.0,0
100012,2023-07-04,UAE,App Push,Silver,135,1,4,10,2,4,4,0,3381.74,338.17,0.399,0,3,0,0,0.652,11.0,0
100013,2023-05-29,UAE,Email,Bronze,5,3,5,7,0,3,1,0,2454.2,350.6,0.221,4,1,0,0,0.501,29.3,1
100014,2023-07-31,Other,WhatsApp,Bronze,0,4,9,18,1,4,0,0,2972.18,165.12,0.486,1,2,1,3,0.749,14.9,0
100015,2023-04-23,UAE,WhatsApp,Bronze,39,1,3,4,0,0,1,0,555.92,138.98,0.0,0,0,0,0,0.522,25.3,0
100016,2024-05-18,India,Email,Gold,44,3,11,16,1,4,5,2,5029.34,314.33,0.357,0,1,0,5,0.636,25.1,0
100017,2025-11-19,UK/EU,Email,Bronze,39,0,2,7,2,1,1,0,2049.46,292.78,0.551,1,4,1,0,0.585,20.1,0
100018,2023-02-06,UAE,SMS,Bronze,137,1,4,13,0,3,2,0,2863.88,220.3,0.435,1,3,1,1,0.634,1.8,0
100019,2024-08-15,UK/EU,SMS,Platinum,66,1,5,12,4,5,4,1,7053.95,587.83,0.534,1,1,0,1,0.391,25.9,0
100020,2024-06-05,UAE,WhatsApp,Bronze,47,1,4,7,1,1,0,0,2237.62,319.66,0.078,2,1,0,0,0.344,13.2,0
100021,2024-12-07,UAE,Email,Bronze,46,2,5,9,1,1,0,1,2868.77,318.75,0.314,2,0,0,0,0.87,28.2,0
100022,2025-09-02,UAE,Email,Bronze,86,1,3,6,1,7,1,1,2492.15,415.36,0.323,0,0,0,0,0.501,23.1,0
100023,2022-10-04,Other,Phone,Silver,0,3,13,23,1,10,5,0,4414.01,191.91,0.243,0,1,1,2,0.383,20.6,0
100024,2023-04-30,UAE,Email,Bronze,69,0,3,3,0,2,0,0,1747.33,582.44,0.269,2,1,0,0,0.642,19.1,0
100025,2023-11-13,UAE,Phone,Bronze,14,1,1,3,1,1,1,1,2281.71,760.57,0.145,3,0,0,0,0.4,17.3,0
100026,2024-10-23,Other,WhatsApp,Silver,24,2,3,6,2,2,3,0,3398.79,566.46,0.471,2,1,0,1,0.854,33.4,1
