customer_id,home_market,preferred_channel,loyalty_tier,recency_days,visits_90d,spend_180d_clean,email_open_rate_clean,prior_offer_count_180d,predicted_response_probability,score_decile,campaign_segment,recommended_channel,qa_ready_flag
105704,India,App Push,Platinum,0,18,10583.98,0.521,6,0.9704359829891929,1,High Propensity - High Value,App Push,1
104076,UAE,Email,Platinum,0,21,14690.48,0.663,2,0.9653648400498913,1,High Propensity - High Value,Email,1
116282,UK/EU,WhatsApp,Platinum,0,19,7881.19,0.629,4,0.9590275956287835,1,High Propensity - High Value,WhatsApp,1
106539,UAE,Email,Platinum,19,11,12537.49,0.489,2,0.9583816339902957,1,High Propensity - High Value,Email,1
109230,UK/EU,App Push,Platinum,0,8,6495.71,0.627,3,0.9583796908622971,1,High Propensity - High Value,App Push,1
112071,UAE,Email,Platinum,24,6,6731.43,0.73,3,0.9483404054942988,1,High Propensity - High Value,Email,1
111597,GCC,Email,Platinum,26,14,10254.76,0.505,4,0.9464183381763395,1,High Propensity - High Value,Email,1
115765,UAE,SMS,Platinum,0,21,6713.86,0.668,4,0.9461594337712009,1,High Propensity - High Value,SMS,1
119245,UAE,WhatsApp,Platinum,20,5,11422.19,0.695,3,0.9445499731669222,1,High Propensity - High Value,WhatsApp,1
104888,North America,App Push,Gold,40,9,4612.25,0.663,5,0.9416997684313799,1,High Propensity - High Value,App Push,1
103278,UAE,WhatsApp,Platinum,23,10,6926.84,0.635,2,0.9401195542882433,1,High Propensity - High Value,WhatsApp,1
102753,UAE,SMS,Gold,31,11,4780.58,0.745,6,0.9385656898665921,1,High Propensity - High Value,SMS,1
108091,India,SMS,Platinum,33,18,9298.36,0.369,5,0.938397416509802,1,High Propensity - High Value,SMS,1
113179,North America,Email,Platinum,0,16,11791.39,0.256,5,0.937711462793747,1,High Propensity - High Value,Email,1
108754,UAE,WhatsApp,Platinum,0,15,7832.61,0.534,2,0.936430243501275,1,High Propensity - High Value,WhatsApp,1
103425,GCC,App Push,Platinum,4,19,15661.6,0.551,2,0.9354644212455331,1,High Propensity - High Value,App Push,1
108817,UAE,Email,Platinum,0,7,6671.74,0.517,0,0.935444700457822,1,High Propensity - High Value,Email,1
115089,UAE,WhatsApp,Platinum,0,6,10637.08,0.569,2,0.9351086538471294,1,High Propensity - High Value,WhatsApp,1
109704,GCC,Email,Silver,17,5,3522.73,0.682,5,0.9348517274008801,1,High Propensity - High Value,Email,1
109178,UK/EU,WhatsApp,Platinum,11,17,11915.64,0.478,7,0.9345677645114834,1,High Propensity - High Value,WhatsApp,1
114011,GCC,SMS,Gold,55,3,6409.19,0.679,6,0.93453545637505,1,High Propensity - High Value,SMS,1
112948,India,Email,Gold,57,10,5387.27,0.604,2,0.9309477419384663,1,High Propensity - High Value,Email,1
116560,Other,WhatsApp,Platinum,66,7,8882.83,0.642,1,0.9300441896562001,1,High Propensity - High Value,WhatsApp,1
112485,UAE,Email,Gold,21,7,4952.02,0.787,2,0.9286193670240892,1,High Propensity - High Value,Email,1
110669,GCC,App Push,Platinum,22,0,10647.43,0.684,2,0.9276893423492287,1,High Propensity - High Value,App Push,1
117726,Other,Email,Platinum,9,20,10746.22,0.582,4,0.9273825790645648,1,High Propensity - High Value,Email,1
104728,Other,Email,Platinum,84,2,6783.9,0.577,6,0.9266357953884694,1,High Propensity - High Value,Email,1
103525,UAE,Email,Platinum,0,7,9388.52,0.39,2,0.9249030125844174,1,High Propensity - High Value,Email,1
103065,UAE,Email,Gold,13,7,6392.93,0.775,2,0.9236582707904384,1,High Propensity - High Value,Email,1
101548,UAE,Email,Platinum,5,18,10207.93,0.529,5,0.9236529086443297,1,High Propensity - High Value,Email,1
118808,UAE,App Push,Platinum,57,10,7647.2,0.496,4,0.9234552332775231,1,High Propensity - High Value,App Push,1
101706,India,SMS,Platinum,25,12,6472.79,0.627,3,0.9232264830235098,1,High Propensity - High Value,SMS,1
115253,GCC,SMS,Silver,16,2,3266.62,0.671,4,0.9222033448667034,1,High Propensity - High Value,SMS,1
103235,UAE,WhatsApp,Gold,0,8,4579.22,0.611,5,0.9216223810841498,1,High Propensity - High Value,WhatsApp,1
108681,India,WhatsApp,Platinum,5,16,6566.06,0.505,3,0.9215536928580726,1,High Propensity - High Value,WhatsApp,1
108762,UK/EU,Email,Platinum,0,13,9142.26,0.427,4,0.9207796999206458,1,High Propensity - High Value,Email,1
113761,GCC,Email,Platinum,47,8,6539.65,0.647,4,0.9207598121411716,1,High Propensity - High Value,Email,1
106027,Other,SMS,Platinum,9,6,9037.93,0.878,2,0.9206957431076446,1,High Propensity - High Value,SMS,1
103200,North America,SMS,Platinum,20,13,7126.05,0.702,4,0.9202382377525407,1,High Propensity - High Value,SMS,1
119451,UK/EU,Phone,Platinum,88,9,6564.74,0.509,4,0.919961489603352,1,High Propensity - High Value,Email,1
115502,GCC,Phone,Platinum,77,14,11184.09,0.569,4,0.919407088840603,1,High Propensity - High Value,Email,1
112888,UK/EU,App Push,Gold,14,3,5038.45,0.465,7,0.918787978462438,1,High Propensity - High Value,App Push,1
112214,UAE,Email,Gold,25,6,5595.94,0.45,3,0.9181550879591247,1,High Propensity - High Value,Email,1
100953,UK/EU,App Push,Gold,0,12,5525.6,0.424,3,0.9178121761693944,1,High Propensity - High Value,App Push,1
107690,UAE,Email,Platinum,0,8,6925.0,0.548,4,0.917681707588867,1,High Propensity - High Value,Email,1
113609,UK/EU,Phone,Gold,0,3,5054.59,0.754,1,0.9170587601540889,1,High Propensity - High Value,Email,1
109719,UAE,Email,Gold,4,4,6271.29,0.429,7,0.9168888118528548,1,High Propensity - High Value,Email,1
106449,UAE,App Push,Gold,0,12,5169.56,0.783,5,0.9160326497552455,1,High Propensity - High Value,App Push,1
111548,GCC,Email,Platinum,132,7,6908.31,0.571,4,0.9158693198905897,1,High Propensity - High Value,Email,1
104900,North America,SMS,Platinum,21,5,6709.32,0.67,3,0.9157865660897065,1,High Propensity - High Value,SMS,1
103912,North America,WhatsApp,Platinum,3,5,7461.44,0.426,2,0.9146652507111555,1,High Propensity - High Value,WhatsApp,1
113670,UAE,WhatsApp,Gold,32,5,5088.34,0.612,5,0.91419172278424,1,High Propensity - High Value,WhatsApp,1
112348,North America,WhatsApp,Gold,19,17,4694.38,0.546,4,0.9128514766535983,1,High Propensity - High Value,WhatsApp,1
109858,North America,SMS,Platinum,52,8,8652.7,0.614,3,0.9127813836333681,1,High Propensity - High Value,SMS,1
108937,North America,Email,Platinum,6,17,9475.57,0.411,2,0.9121018922204405,1,High Propensity - High Value,Email,1
102153,India,Email,Platinum,40,10,8232.76,0.715,3,0.9118268525071214,1,High Propensity - High Value,Email,1
101070,Other,Phone,Gold,15,4,5331.76,0.402,4,0.9117173615791517,1,High Propensity - High Value,Email,1
106031,North America,SMS,Silver,48,1,4359.89,0.742,5,0.9117047116123592,1,High Propensity - High Value,SMS,1
101638,North America,SMS,Platinum,54,13,7013.28,0.462,3,0.9083977055238107,1,High Propensity - High Value,SMS,1
108129,India,App Push,Platinum,22,0,7831.31,0.584,2,0.9080041048802651,1,High Propensity - High Value,App Push,1
110511,UAE,Email,Platinum,6,9,6813.83,0.391,5,0.9057556601005706,1,High Propensity - High Value,Email,1
112440,UAE,SMS,Platinum,36,5,6915.36,0.607,2,0.9036475505500726,1,High Propensity - High Value,SMS,1
114699,UK/EU,SMS,Platinum,0,18,7350.81,0.546,4,0.9034792141372,1,High Propensity - High Value,SMS,1
114014,India,Email,Platinum,0,9,9694.24,0.666,1,0.9029750546423964,1,High Propensity - High Value,Email,1
111423,UK/EU,App Push,Platinum,40,11,8805.84,0.684,3,0.9028693502358386,1,High Propensity - High Value,App Push,1
111085,GCC,WhatsApp,Platinum,54,20,12750.1,0.699,2,0.9027598331875578,1,High Propensity - High Value,WhatsApp,1
114387,India,Phone,Platinum,18,7,7023.11,0.434,4,0.9027498567368915,1,High Propensity - High Value,Email,1
107890,UAE,Email,Platinum,41,7,9667.97,0.399,4,0.9022927262523439,1,High Propensity - High Value,Email,1
119050,UAE,Phone,Platinum,20,3,8206.95,0.634,3,0.9019537317995509,1,High Propensity - High Value,Email,1
109342,GCC,App Push,Platinum,22,8,6622.35,0.519,4,0.9013813828642012,1,High Propensity - High Value,App Push,1
105004,GCC,SMS,Silver,0,10,3829.56,0.722,3,0.9011777971102666,1,High Propensity - High Value,SMS,1
111331,UAE,Email,Gold,0,14,5885.62,0.52,4,0.900031721650186,1,High Propensity - High Value,Email,1
111320,UK/EU,Email,Platinum,0,8,7880.97,0.462,4,0.8999192680025363,1,High Propensity - High Value,Email,1
100765,UAE,Email,Silver,0,10,4438.11,0.58,5,0.8994910235738035,1,High Propensity - High Value,Email,1
104859,GCC,Email,Platinum,0,15,11468.7,0.534,3,0.8992586914895393,1,High Propensity - High Value,Email,1
119712,UK/EU,Email,Platinum,32,4,8179.32,0.691,3,0.8970819926562461,1,High Propensity - High Value,Email,1
105678,UK/EU,WhatsApp,Silver,29,6,3732.03,0.579,1,0.896599216015146,1,High Propensity - High Value,WhatsApp,1
116672,North America,WhatsApp,Platinum,68,4,7538.32,0.533,4,0.896547719014592,1,High Propensity - High Value,WhatsApp,1
116567,Other,App Push,Gold,13,0,5541.68,0.431,4,0.8964619777933809,1,High Propensity - High Value,App Push,1
102261,GCC,WhatsApp,Platinum,3,13,10172.31,0.389,3,0.8963986897533633,1,High Propensity - High Value,WhatsApp,1
100920,India,SMS,Platinum,74,4,6727.52,0.719,4,0.8958928995318651,1,High Propensity - High Value,SMS,1
115220,India,Email,Platinum,21,5,7336.09,0.601,4,0.8956225478226422,1,High Propensity - High Value,Email,1
118598,GCC,App Push,Gold,33,8,5012.14,0.607,2,0.8949998177501811,1,High Propensity - High Value,App Push,1
106339,UAE,WhatsApp,Platinum,0,8,8123.73,0.491,4,0.8944523434949008,1,High Propensity - High Value,WhatsApp,1
110588,UAE,Email,Platinum,15,6,6919.43,0.553,5,0.8940501438888331,1,High Propensity - High Value,Email,1
117182,UK/EU,WhatsApp,Silver,6,8,4293.42,0.618,3,0.8940058402070331,1,High Propensity - High Value,WhatsApp,1
110614,GCC,Phone,Gold,50,10,5536.42,0.594,3,0.8938453506082992,1,High Propensity - High Value,Email,1
107938,GCC,App Push,Platinum,0,14,7482.32,0.625,4,0.8933844052022771,1,High Propensity - High Value,App Push,1
108717,UAE,Email,Gold,25,5,5813.87,0.66,5,0.8927528022038451,1,High Propensity - High Value,Email,1
107874,UAE,Phone,Gold,10,15,6392.11,0.723,2,0.892514158303606,1,High Propensity - High Value,Email,1
115154,UK/EU,WhatsApp,Platinum,7,23,15742.52,0.366,5,0.892275461470516,1,High Propensity - High Value,WhatsApp,1
113466,GCC,WhatsApp,Platinum,98,9,8320.05,0.664,3,0.8916319673939824,1,High Propensity - High Value,WhatsApp,1
115416,India,Email,Platinum,39,13,7201.56,,3,0.8914121076866764,1,High Propensity - High Value,Email,1
113916,UAE,SMS,Platinum,59,23,9170.72,0.432,1,0.8913291654884016,1,High Propensity - High Value,SMS,1
107073,UAE,Email,Platinum,23,5,6666.98,0.561,1,0.8901120800344902,1,High Propensity - High Value,Email,1
102707,UAE,SMS,Platinum,1,13,8936.73,0.5,2,0.8899156094109235,1,High Propensity - High Value,SMS,1
108231,GCC,WhatsApp,Gold,13,6,6344.06,0.397,3,0.8898930121007126,1,High Propensity - High Value,WhatsApp,1
103410,UK/EU,SMS,Silver,42,6,4487.19,0.701,2,0.8898203636653145,1,High Propensity - High Value,SMS,1
108312,India,WhatsApp,Platinum,14,16,7756.72,0.663,3,0.8894006519340443,1,High Propensity - High Value,WhatsApp,1
118695,India,App Push,Platinum,97,9,7392.82,0.56,4,0.8891241468360463,1,High Propensity - High Value,App Push,1
100535,GCC,Email,Platinum,55,8,8562.73,0.567,1,0.8887415526624243,1,High Propensity - High Value,Email,1
111582,Other,Email,Gold,31,10,6020.24,0.523,6,0.888655615322458,1,High Propensity - High Value,Email,1
104016,GCC,Phone,Platinum,33,20,9830.36,0.619,4,0.8886122352508962,1,High Propensity - High Value,Email,1
104410,GCC,Email,Silver,40,9,4530.71,0.425,3,0.8879770713910702,1,High Propensity - High Value,Email,1
106775,North America,Email,Silver,11,1,4546.37,0.49,1,0.8879754691603454,1,High Propensity - High Value,Email,1
119758,North America,Email,Platinum,51,0,8263.23,0.652,1,0.8869908629509169,1,High Propensity - High Value,Email,1
104842,GCC,WhatsApp,Platinum,60,5,9127.0,0.643,1,0.8865595826006525,1,High Propensity - High Value,WhatsApp,1
118898,UAE,App Push,Platinum,3,10,7385.15,0.671,3,0.885751191441615,1,High Propensity - High Value,App Push,1
104990,North America,WhatsApp,Platinum,0,9,8533.16,0.556,3,0.8851526318740662,1,High Propensity - High Value,WhatsApp,1
103167,UAE,SMS,Gold,8,17,6008.34,0.558,8,0.885038779600093,1,High Propensity - High Value,SMS,1
116713,UK/EU,Email,Gold,0,4,5043.85,0.599,3,0.8848242065909733,1,High Propensity - High Value,Email,1
106116,UAE,WhatsApp,Platinum,71,4,7254.81,0.554,4,0.8847422829274528,1,High Propensity - High Value,WhatsApp,1
107528,GCC,WhatsApp,Platinum,17,6,7041.54,,1,0.8845779488091235,1,High Propensity - High Value,WhatsApp,1
107174,GCC,App Push,Platinum,81,10,8086.92,,2,0.8845161784999663,1,High Propensity - High Value,App Push,1
110088,GCC,Email,Gold,40,7,4986.19,0.62,2,0.8838627865234927,1,High Propensity - High Value,Email,1
109903,UAE,WhatsApp,Platinum,35,1,10064.44,0.612,1,0.8838408355406947,1,High Propensity - High Value,WhatsApp,1
101674,UAE,Email,Gold,9,10,5960.91,0.436,2,0.88346516795751,1,High Propensity - High Value,Email,1
110183,North America,Email,Gold,10,11,5045.5,0.614,3,0.8828623322515132,1,High Propensity - High Value,Email,1
109314,GCC,SMS,Platinum,24,8,9208.83,0.419,1,0.882698542497446,1,High Propensity - High Value,SMS,1
116544,GCC,Phone,Bronze,18,2,2601.11,0.799,7,0.882478148086048,1,High Propensity - Standard Value,Email,1
111658,India,Email,Gold,30,3,4685.11,0.693,2,0.8822982111385665,1,High Propensity - High Value,Email,1
116033,India,App Push,Platinum,83,15,6810.52,0.593,3,0.8821045953000789,1,High Propensity - High Value,App Push,1
109267,GCC,WhatsApp,Platinum,50,14,9063.56,0.381,1,0.8817991886361303,1,High Propensity - High Value,WhatsApp,1
108902,UAE,Email,Platinum,29,3,6699.9,0.57,1,0.88092302781834,1,High Propensity - High Value,Email,1
106662,UAE,SMS,Silver,19,7,3344.6,0.644,0,0.8798445696881841,1,High Propensity - High Value,SMS,1
105855,North America,Email,Bronze,7,9,1699.83,0.607,3,0.8789385586050265,1,High Propensity - Standard Value,Email,1
106650,UAE,SMS,Gold,30,8,6240.77,0.537,4,0.8788123152007347,1,High Propensity - High Value,SMS,1
112131,GCC,App Push,Platinum,5,7,8004.01,0.593,1,0.8787701358751905,1,High Propensity - High Value,App Push,1
113315,GCC,SMS,Platinum,2,9,9848.2,0.352,2,0.8787348173934305,1,High Propensity - High Value,SMS,1
114635,UAE,Email,Gold,25,9,6079.08,0.575,3,0.8770969689815046,1,High Propensity - High Value,Email,1
107959,India,Email,Silver,20,3,4050.18,0.736,3,0.8768259264738504,1,High Propensity - High Value,Email,1
114464,UAE,App Push,Platinum,59,8,6483.92,0.601,6,0.8767695108497424,1,High Propensity - High Value,App Push,1
111008,India,Email,Platinum,44,6,8078.8,0.377,2,0.8767416222106194,1,High Propensity - High Value,Email,1
103193,GCC,Email,Platinum,48,8,10877.95,0.521,3,0.8766311528410431,1,High Propensity - High Value,Email,1
109333,GCC,App Push,Platinum,75,13,7417.56,0.617,4,0.8759472118950842,1,High Propensity - High Value,App Push,1
118130,India,App Push,Gold,25,4,6352.3,0.62,2,0.8753431576192048,1,High Propensity - High Value,App Push,1
115576,UK/EU,Email,Silver,38,12,4178.16,0.692,4,0.8753375708418732,1,High Propensity - High Value,Email,1
110238,North America,WhatsApp,Platinum,52,9,7683.59,0.535,1,0.8753307978686651,1,High Propensity - High Value,WhatsApp,1
112577,North America,SMS,Silver,9,2,3384.81,0.632,6,0.8753190683662317,1,High Propensity - High Value,SMS,1
108418,UK/EU,SMS,Platinum,3,8,9409.47,0.465,2,0.875274472387134,1,High Propensity - High Value,SMS,1
105852,UK/EU,App Push,Silver,0,13,3716.78,0.557,3,0.8750660225399741,1,High Propensity - High Value,App Push,1
101989,India,Email,Gold,16,8,5066.22,0.513,4,0.8746935489185442,1,High Propensity - High Value,Email,1
115527,India,Email,Gold,15,5,5995.4,0.58,4,0.8745136507797008,1,High Propensity - High Value,Email,1
108587,UAE,App Push,Platinum,0,30,7792.49,0.454,2,0.8742083708059,1,High Propensity - High Value,App Push,1
104637,India,Email,Silver,31,4,3951.47,0.605,3,0.8740900037059335,1,High Propensity - High Value,Email,1
118218,GCC,SMS,Gold,32,5,5436.74,0.438,5,0.8732268903899264,1,High Propensity - High Value,SMS,1
110623,UK/EU,Email,Platinum,3,6,11712.21,0.581,1,0.8731335816843491,1,High Propensity - High Value,Email,1
106485,Other,Phone,Platinum,1,15,8828.27,0.319,5,0.8729305260981545,1,High Propensity - High Value,Email,1
115519,UAE,Email,Platinum,2,6,9679.73,0.624,0,0.8729028423308918,1,High Propensity - High Value,Email,1
104490,UK/EU,Email,Platinum,32,13,6498.58,0.477,0,0.8725089520968309,1,High Propensity - High Value,Email,1
117411,UAE,WhatsApp,Silver,0,13,3354.44,0.677,3,0.8723432393553362,1,High Propensity - High Value,WhatsApp,1
111474,India,Email,Platinum,25,11,10762.32,0.458,3,0.8718563577685514,1,High Propensity - High Value,Email,1
116076,UAE,WhatsApp,Platinum,32,6,9393.71,0.532,1,0.8718041724280763,1,High Propensity - High Value,WhatsApp,1
116603,UAE,WhatsApp,Gold,38,7,4590.49,0.574,1,0.8717850035207277,1,High Propensity - High Value,WhatsApp,1
115980,UK/EU,Phone,Platinum,32,2,6532.31,0.568,1,0.8714342586260246,1,High Propensity - High Value,Email,1
110649,UAE,Email,Gold,63,8,6193.95,0.571,3,0.8711011224263839,1,High Propensity - High Value,Email,1
112827,UAE,SMS,Gold,63,6,5817.73,0.855,2,0.8710554274376832,1,High Propensity - High Value,SMS,1
116205,UAE,Email,Platinum,45,9,8333.38,0.526,2,0.8710002428841257,1,High Propensity - High Value,Email,1
100874,Other,WhatsApp,Platinum,0,16,6566.09,0.493,4,0.8708870350271072,1,High Propensity - High Value,WhatsApp,1
108004,North America,WhatsApp,Gold,0,7,5831.48,0.753,4,0.8708576800262928,1,High Propensity - High Value,WhatsApp,1
104613,UAE,Email,Platinum,25,6,10025.92,0.65,3,0.8706803646933945,1,High Propensity - High Value,Email,1
103489,Other,WhatsApp,Platinum,64,7,10975.2,0.466,3,0.8705316995710582,1,High Propensity - High Value,WhatsApp,1
105329,UAE,SMS,Platinum,6,11,6565.07,0.522,3,0.8700486247047339,1,High Propensity - High Value,SMS,1
103996,UAE,WhatsApp,Platinum,29,6,9218.02,0.531,4,0.8699187058526647,1,High Propensity - High Value,WhatsApp,1
114492,GCC,Email,Gold,19,4,5950.16,0.656,4,0.8697789712163507,1,High Propensity - High Value,Email,1
106755,GCC,Email,Platinum,0,23,9866.5,0.509,2,0.869486561784466,1,High Propensity - High Value,Email,1
119884,GCC,Email,Platinum,0,12,7825.39,0.572,3,0.8692136412922509,1,High Propensity - High Value,Email,1
119807,GCC,WhatsApp,Gold,54,7,5548.68,0.427,3,0.8691298533915928,1,High Propensity - High Value,WhatsApp,1
100729,North America,SMS,Silver,10,5,4402.63,0.63,3,0.8690058197955964,1,High Propensity - High Value,SMS,1
104505,India,SMS,Gold,19,6,4845.12,0.624,4,0.8688418469973991,1,High Propensity - High Value,SMS,1
117966,UAE,SMS,Platinum,28,12,10859.99,0.408,3,0.8687155157208398,1,High Propensity - High Value,SMS,1
107041,UK/EU,Email,Gold,0,4,5209.33,0.355,2,0.8685719641195659,1,High Propensity - High Value,Email,1
